entidad,relacion,objetos,pregunta,respuestas,obtenido_de
Alexánder Obando,Fecha de nacimiento,['1958-07-14'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alexánder Obando?,['1958-07-14'],['costa_rica']
Alfio Piva Mesén,Fecha de nacimiento,['1940-01-07'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfio Piva Mesén?,['1940-01-07'],['costa_rica']
Alfonso Alberto Perla Fuentes,Fecha de nacimiento,['1982-03-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Alberto Perla Fuentes?,['1982-03-28'],['el_salvador']
Alfonso Alcalde,Fecha de nacimiento,['1921-09-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Alcalde?,['1921-09-28'],['chile']
Alfonso Asenjo Gómez,Fecha de nacimiento,['1906-06-17'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Asenjo Gómez?,['1906-06-17'],['chile']
Alfonso Bauer Paiz,Fecha de nacimiento,['1918-04-29'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Bauer Paiz?,['1918-04-29'],['guatemala']
Alfonso Blanco Parra,Fecha de nacimiento,['1986-02-02'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Blanco Parra?,['1986-02-02'],['venezuela']
Alfonso Cabrera Hidalgo,Fecha de nacimiento,['1941-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Cabrera Hidalgo?,['1941-01-01'],['guatemala']
Alfonso Cachiguango,Fecha de nacimiento,['1955-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Cachiguango?,['1955-01-01'],['ecuador']
Alfonso Chacón Rodríguez,Fecha de nacimiento,['1967-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Chacón Rodríguez?,['1967-01-01'],['costa_rica']
Alfonso Chase,Fecha de nacimiento,['1944-10-19'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Chase?,['1944-10-19'],['costa_rica']
Alfonso Cortés,Fecha de nacimiento,['1893-12-09'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Cortés?,['1893-12-09'],['nicaragua']
Alfonso Cuarón,Fecha de nacimiento,['1961-11-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Cuarón?,['1961-11-28'],['mexico']
Alfonso Enrique Barrientos,Fecha de nacimiento,['1921-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Enrique Barrientos?,['1921-01-01'],['guatemala']
Alfonso Escobar,Fecha de nacimiento,['2000-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Escobar?,['2000-01-01'],['chile']
Alfonso Frazer,Fecha de nacimiento,['1948-01-04'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Frazer?,['1948-01-04'],['panama']
Alfonso González Núñez,Fecha de nacimiento,['1964-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso González Núñez?,['1964-01-01'],['paraguay']
Alfonso Grados Bertorini,Fecha de nacimiento,['1925-04-27'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Grados Bertorini?,['1925-04-27'],['peru']
Alfonso Guillén Zelaya,Fecha de nacimiento,['1887-06-27'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Guillén Zelaya?,['1887-06-27'],['honduras']
Alfonso Juan-Oliver,Fecha de nacimiento,['1924-02-07'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Juan-Oliver?,['1924-02-07'],['chile']
Alfonso Lara,Fecha de nacimiento,['1946-04-27'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Lara?,['1946-04-27'],['chile']
Alfonso Lovo Cordero,Fecha de nacimiento,['1927-06-11'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Lovo Cordero?,['1927-06-11'],['nicaragua']
Alfonso López Pumarejo,Fecha de nacimiento,['1886-01-31'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso López Pumarejo?,['1886-01-31'],['colombia']
Alfonso Montemayor,Fecha de nacimiento,['1922-04-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Montemayor?,['1922-04-28'],['mexico']
Alfonso Montes,Fecha de nacimiento,['1955-09-02'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Montes?,['1955-09-02'],['venezuela']
Alfonso Obregón Cancino,Fecha de nacimiento,['1972-05-12'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Obregón Cancino?,['1972-05-12'],['ecuador']
Alfonso Orantes,Fecha de nacimiento,['1898-07-17'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Orantes?,['1898-07-17'],['guatemala']
Alfonso Orellana,Fecha de nacimiento,['1978-06-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Orellana?,['1978-06-05'],['el_salvador']
Alfonso Ortega Urbina,Fecha de nacimiento,['1925-02-24'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Ortega Urbina?,['1925-02-24'],['nicaragua']
Alfonso Orueta,Fecha de nacimiento,['1929-11-03'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Orueta?,['1929-11-03'],['chile']
Alfonso Portillo,Fecha de nacimiento,['1951-09-24'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Portillo?,['1951-09-24'],['guatemala']
Alfonso Quesada Ramírez,Fecha de nacimiento,['1988-03-15'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Quesada Ramírez?,['1988-03-15'],['costa_rica']
Alfonso Quijada Urías,Fecha de nacimiento,['1940-12-08'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Quijada Urías?,['1940-12-08'],['el_salvador']
Alfonso Quiñónez Molina,Fecha de nacimiento,['1874-01-11'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Quiñónez Molina?,['1874-01-11'],['el_salvador']
Alfonso Robelo,Fecha de nacimiento,['1939-10-11'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Robelo?,['1939-10-11'],['nicaragua']
Alfonso Rojo de la Vega,Fecha de nacimiento,['1895-09-03'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Rojo de la Vega?,['1895-09-03'],['mexico']
Alfonso Soriano,Fecha de nacimiento,['1976-01-07'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Soriano?,['1976-01-07'],['republica_dominicana']
Alfonso Ulloa Zamora,Fecha de nacimiento,['1914-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Ulloa Zamora?,['1914-01-01'],['costa_rica']
Alfonso Yáñez Ramírez,Fecha de nacimiento,['1970-03-20'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfonso Yáñez Ramírez?,['1970-03-20'],['peru']
Alfred Rothensteiner Martinez,Fecha de nacimiento,['1998-01-27'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfred Rothensteiner Martinez?,['1998-01-27'],['republica_dominicana']
Alfredo Aguilar,Fecha de nacimiento,['1988-07-18'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Aguilar?,['1988-07-18'],['paraguay']
Alfredo Alberto Pacheco,Fecha de nacimiento,['1982-12-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Alberto Pacheco?,['1982-12-01'],['el_salvador']
Alfredo Alegría Rosales,Fecha de nacimiento,['1899-07-10'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Alegría Rosales?,['1899-07-10'],['nicaragua']
Alfredo Baquerizo Moreno,Fecha de nacimiento,['1859-09-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Baquerizo Moreno?,['1859-09-28'],['ecuador']
Alfredo Bauer,Fecha de nacimiento,['1924-11-14'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Bauer?,['1924-11-14'],['argentina']
Alfredo Betancourt,Fecha de nacimiento,['1914-10-26'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Betancourt?,['1914-10-26'],['el_salvador']
Alfredo Bogarín,Fecha de nacimiento,['1936-07-31'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Bogarín?,['1936-07-31'],['paraguay']
Alfredo Bryce Echenique,Fecha de nacimiento,['1939-02-19'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Bryce Echenique?,['1939-02-19'],['peru']
Alfredo Cantón,Fecha de nacimiento,"['1910-06-09', '1910-09-06']",Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Cantón?,"['1910-06-09', '1910-09-06']","['panama', 'panama']"
Alfredo Cardona Peña,Fecha de nacimiento,['1917-08-11'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Cardona Peña?,['1917-08-11'],['costa_rica']
Alfredo Castro Fernández,Fecha de nacimiento,['1889-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Castro Fernández?,['1889-01-01'],['costa_rica']
Alfredo Coto,Fecha de nacimiento,['1941-10-09'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Coto?,['1941-10-09'],['paraguay']
Alfredo Czarninski,Fecha de nacimiento,['1916-08-30'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Czarninski?,['1916-08-30'],['ecuador']
Alfredo César Aguirre,Fecha de nacimiento,['1951-04-24'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo César Aguirre?,['1951-04-24'],['nicaragua']
Alfredo Di Stéfano,Fecha de nacimiento,['1926-07-04'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Di Stéfano?,['1926-07-04'],['argentina']
Alfredo Duhalde,Fecha de nacimiento,['1898-06-30'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Duhalde?,['1898-06-30'],['chile']
Alfredo Duvergel,Fecha de nacimiento,['1968-04-02'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Duvergel?,['1968-04-02'],['cuba']
Alfredo Espino Najarro,Fecha de nacimiento,['1900-01-08'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Espino Najarro?,['1900-01-08'],['el_salvador']
Alfredo González Flores,Fecha de nacimiento,['1877-06-15'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo González Flores?,['1877-06-15'],['costa_rica']
Alfredo Griffin,Fecha de nacimiento,['1957-10-06'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Griffin?,['1957-10-06'],['republica_dominicana']
Alfredo Jaar,Fecha de nacimiento,['1956-02-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Jaar?,['1956-02-05'],['chile']
Alfredo Jara,Fecha de nacimiento,['1973-05-02'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Jara?,['1973-05-02'],['paraguay']
Alfredo Layne,Fecha de nacimiento,['1959-10-09'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Layne?,['1959-10-09'],['panama']
Alfredo Martín Peterson,Fecha de nacimiento,['1968-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Martín Peterson?,['1968-01-01'],['panama']
Alfredo Martínez Moreno,Fecha de nacimiento,['1923-09-23'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Martínez Moreno?,['1923-09-23'],['el_salvador']
Alfredo Mendoza,Fecha de nacimiento,['1963-12-12'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Mendoza?,['1963-12-12'],['paraguay']
Alfredo Mury,Fecha de nacimiento,['1908-12-03'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Mury?,['1908-12-03'],['guatemala']
Alfredo Pareja Díez Canseco,Fecha de nacimiento,['1908-10-12'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Pareja Díez Canseco?,['1908-10-12'],['ecuador']
Alfredo Perl,Fecha de nacimiento,['1965-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Perl?,['1965-01-01'],['chile']
Alfredo Phillips,Fecha de nacimiento,['1988-10-30'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Phillips?,['1988-10-30'],['panama']
Alfredo Piedra Mora,Fecha de nacimiento,['1915-08-15'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Piedra Mora?,['1915-08-15'],['costa_rica']
Alfredo Poveda,Fecha de nacimiento,['1926-01-24'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Poveda?,['1926-01-24'],['ecuador']
Alfredo Poviña,Fecha de nacimiento,['1904-03-18'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Poviña?,['1904-03-18'],['argentina']
Alfredo Rivera,Fecha de nacimiento,['1952-12-10'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Rivera?,['1952-12-10'],['el_salvador']
Alfredo Ruano,Fecha de nacimiento,['1932-10-14'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Ruano?,['1932-10-14'],['el_salvador']
Alfredo Sadel,Fecha de nacimiento,['1930-02-22'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Sadel?,['1930-02-22'],['venezuela']
Alfredo Seiferheld,Fecha de nacimiento,['1950-07-26'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Seiferheld?,['1950-07-26'],['paraguay']
Alfredo Stroessner,Fecha de nacimiento,['1912-11-03'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Stroessner?,['1912-11-03'],['paraguay']
Alfredo Trejos,Fecha de nacimiento,['1977-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Trejos?,['1977-01-01'],['costa_rica']
Alfredo Vega,Fecha de nacimiento,['1935-02-02'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Vega?,['1935-02-02'],['paraguay']
Alfredo Vera Arrata,Fecha de nacimiento,['1935-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Vera Arrata?,['1935-01-01'],['ecuador']
Alfredo Vera Vera,Fecha de nacimiento,['1910-06-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Vera Vera?,['1910-06-28'],['ecuador']
Alfredo Wyld,Fecha de nacimiento,['1883-03-16'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Wyld?,['1883-03-16'],['guatemala']
Alfredo Zayas y Alfonso,Fecha de nacimiento,['1861-02-21'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo Zayas y Alfonso?,['1861-02-21'],['cuba']
Alfredo de Ángelis,Fecha de nacimiento,['1912-11-02'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo de Ángelis?,['1912-11-02'],['argentina']
Alfredo del Mónaco,Fecha de nacimiento,['1938-04-29'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alfredo del Mónaco?,['1938-04-29'],['venezuela']
Alice Lardé de Venturino,Fecha de nacimiento,['1895-06-29'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alice Lardé de Venturino?,['1895-06-29'],['el_salvador']
Alicia Alonso,Fecha de nacimiento,['1920-12-21'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alicia Alonso?,['1920-12-21'],['cuba']
Alicia Delgado,Fecha de nacimiento,['1959-05-06'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alicia Delgado?,['1959-05-06'],['peru']
Alicia Machado,Fecha de nacimiento,['1976-12-06'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alicia Machado?,['1976-12-06'],['venezuela']
Alicia Nororis,Fecha de nacimiento,['1998-09-30'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alicia Nororis?,['1998-09-30'],['nicaragua']
Alicia Pucheta,Fecha de nacimiento,['1950-01-14'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alicia Pucheta?,['1950-01-14'],['paraguay']
Alicio Solalinde,Fecha de nacimiento,['1952-02-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alicio Solalinde?,['1952-02-01'],['paraguay']
Alina Garciamendez,Fecha de nacimiento,['1991-04-16'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alina Garciamendez?,['1991-04-16'],['mexico']
Alina Pacheco Nuñez,Fecha de nacimiento,['1999-07-29'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alina Pacheco Nuñez?,['1999-07-29'],['costa_rica']
Alina Ruiz Cespedes,Fecha de nacimiento,['1999-05-29'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alina Ruiz Cespedes?,['1999-05-29'],['costa_rica']
Alirio Díaz,Fecha de nacimiento,['1923-11-12'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alirio Díaz?,['1923-11-12'],['venezuela']
Alison Lohman,Fecha de nacimiento,['1979-09-18'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alison Lohman?,['1979-09-18'],['usa']
Alison Torres,Fecha de nacimiento,['2002-12-02'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alison Torres?,['2002-12-02'],['costa_rica']
Aliuska López,Fecha de nacimiento,['1969-08-29'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Aliuska López?,['1969-08-29'],['cuba']
Allan Alemán,Fecha de nacimiento,['1983-07-29'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Allan Alemán?,['1983-07-29'],['costa_rica']
Allan Lalin,Fecha de nacimiento,['1981-01-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Allan Lalin?,['1981-01-05'],['honduras']
Allan Oviedo,Fecha de nacimiento,['1970-11-08'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Allan Oviedo?,['1970-11-08'],['costa_rica']
Allan Segura,Fecha de nacimiento,['1980-12-23'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Allan Segura?,['1980-12-23'],['costa_rica']
Allen Guevara,Fecha de nacimiento,['1989-04-16'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Allen Guevara?,['1989-04-16'],['costa_rica']
Alma Gutiérrez,Fecha de nacimiento,['2001-12-12'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alma Gutiérrez?,['2001-12-12'],['nicaragua']
Alma Veronica Barrantes Castillo,Fecha de nacimiento,['1999-05-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alma Veronica Barrantes Castillo?,['1999-05-05'],['costa_rica']
Alondra Lizama,Fecha de nacimiento,['2005-06-20'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alondra Lizama?,['2005-06-20'],['el_salvador']
Alonso Anguciana de Gamboa,Fecha de nacimiento,['1600-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alonso Anguciana de Gamboa?,['1600-01-01'],['costa_rica']
Alonso Correque,Fecha de nacimiento,['1550-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alonso Correque?,['1550-01-01'],['costa_rica']
Alonso Cueto,Fecha de nacimiento,['1954-04-30'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alonso Cueto?,['1954-04-30'],['peru']
Alonso Fernández Alvarez,Fecha de nacimiento,['1982-03-16'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alonso Fernández Alvarez?,['1982-03-16'],['costa_rica']
Alvaro Cordero,Fecha de nacimiento,['1954-08-24'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alvaro Cordero?,['1954-08-24'],['venezuela']
Alvaro González Ricci,Fecha de nacimiento,['1967-02-19'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alvaro González Ricci?,['1967-02-19'],['guatemala']
Alvin Mendoza,Fecha de nacimiento,['1984-07-27'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alvin Mendoza?,['1984-07-27'],['mexico']
Aly Arriola,Fecha de nacimiento,['1989-09-22'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Aly Arriola?,['1989-09-22'],['honduras']
Alys Dayana Cruz Cordonero,Fecha de nacimiento,['1998-02-24'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alys Dayana Cruz Cordonero?,['1998-02-24'],['nicaragua']
Alí Primera,Fecha de nacimiento,['1941-10-31'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alí Primera?,['1941-10-31'],['venezuela']
Alí Víquez Jiménez,Fecha de nacimiento,['1966-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Alí Víquez Jiménez?,['1966-01-01'],['costa_rica']
Amadeo Ortega,Fecha de nacimiento,['1905-04-19'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amadeo Ortega?,['1905-04-19'],['paraguay']
Amadeo Roldán,Fecha de nacimiento,['1900-07-12'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amadeo Roldán?,['1900-07-12'],['cuba']
Amadito Valdés,Fecha de nacimiento,['1946-02-14'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amadito Valdés?,['1946-02-14'],['cuba']
Amado Adrian Martinez Vitale,Fecha de nacimiento,['1995-09-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amado Adrian Martinez Vitale?,['1995-09-01'],['paraguay']
Amado García Guerrero,Fecha de nacimiento,['1931-06-02'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amado García Guerrero?,['1931-06-02'],['republica_dominicana']
Amado Guevara,Fecha de nacimiento,['1976-05-02'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amado Guevara?,['1976-05-02'],['honduras']
Amado Pérez,Fecha de nacimiento,['1959-06-24'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amado Pérez?,['1959-06-24'],['paraguay']
Amador Rodríguez Céspedes,Fecha de nacimiento,['1956-09-08'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amador Rodríguez Céspedes?,['1956-09-08'],['cuba']
Amalia Chaverri Fonseca,Fecha de nacimiento,['1941-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amalia Chaverri Fonseca?,['1941-01-01'],['costa_rica']
Amalia Matamoros,Fecha de nacimiento,['1989-06-17'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amalia Matamoros?,['1989-06-17'],['costa_rica']
Amalia del Cid,Fecha de nacimiento,['1987-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amalia del Cid?,['1987-01-01'],['nicaragua']
Amaury Martínez,Fecha de nacimiento,['1973-02-13'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amaury Martínez?,['1973-02-13'],['republica_dominicana']
Amaurys Ripool,Fecha de nacimiento,['1986-05-27'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amaurys Ripool?,['1986-05-27'],['costa_rica']
Amaya Coppens,Fecha de nacimiento,['1994-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amaya Coppens?,['1994-01-01'],['nicaragua']
Amaya González,Fecha de nacimiento,['2000-12-21'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amaya González?,['2000-12-21'],['el_salvador']
Amelia Denis de Icaza,Fecha de nacimiento,['1836-11-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amelia Denis de Icaza?,['1836-11-28'],['panama']
Amelia Earhart,Fecha de nacimiento,['1897-07-24'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amelia Earhart?,['1897-07-24'],['usa']
Amelia Rueda,Fecha de nacimiento,['1951-10-03'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amelia Rueda?,['1951-10-03'],['costa_rica']
Amelia Valverde Villalobos,Fecha de nacimiento,['1987-01-14'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amelia Valverde Villalobos?,['1987-01-14'],['costa_rica']
Amenazzy,Fecha de nacimiento,['1995-08-04'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amenazzy?,['1995-08-04'],['republica_dominicana']
Aminta Buenaño,Fecha de nacimiento,['1958-09-27'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Aminta Buenaño?,['1958-09-27'],['ecuador']
Amir Soto,Fecha de nacimiento,['1997-11-04'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amir Soto?,['1997-11-04'],['panama']
Amir Valle,Fecha de nacimiento,['1967-01-06'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amir Valle?,['1967-01-06'],['cuba']
Amparo Ángel,Fecha de nacimiento,['2000-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amparo Ángel?,['2000-01-01'],['colombia']
Amábilis Cordero,Fecha de nacimiento,['1892-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amábilis Cordero?,['1892-01-01'],['venezuela']
Américo Gregorio Martín Estaba,Fecha de nacimiento,['1938-02-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Américo Gregorio Martín Estaba?,['1938-02-01'],['venezuela']
Américo,Fecha de nacimiento,['1977-12-24'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Américo?,['1977-12-24'],['chile']
Améth Ramírez,Fecha de nacimiento,['1993-06-19'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Améth Ramírez?,['1993-06-19'],['panama']
Amílcar Figueroa,Fecha de nacimiento,['1901-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amílcar Figueroa?,['1901-01-01'],['venezuela']
Amílcar Henríquez,Fecha de nacimiento,['1983-08-02'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amílcar Henríquez?,['1983-08-02'],['panama']
Amílcar Pop,Fecha de nacimiento,['1977-10-03'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amílcar Pop?,['1977-10-03'],['guatemala']
Amín Cruz,Fecha de nacimiento,['1954-05-27'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Amín Cruz?,['1954-05-27'],['republica_dominicana']
